2025-03-31 12:09:27,244 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:19:33,148 - INFO - Metrics: CPU=3.5%, RAM=58.2%, Disk=45.2%
2025-03-31 12:19:36,170 - INFO - Metrics: CPU=3.4%, RAM=58.0%, Disk=45.2%
2025-03-31 12:19:37,790 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:19:38,804 - INFO - Metrics: CPU=0.7%, RAM=58.4%, Disk=45.2%
2025-03-31 12:19:40,128 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:19:41,147 - INFO - Metrics: CPU=5.1%, RAM=58.4%, Disk=45.2%
2025-03-31 12:19:42,743 - INFO - Metrics: CPU=4.1%, RAM=58.4%, Disk=45.2%
2025-03-31 12:19:45,841 - INFO - Metrics: CPU=1.5%, RAM=58.5%, Disk=45.2%
2025-03-31 12:19:48,865 - INFO - Metrics: CPU=1.6%, RAM=58.7%, Disk=45.2%
2025-03-31 12:19:51,888 - INFO - Metrics: CPU=0.1%, RAM=58.6%, Disk=45.2%
2025-03-31 12:19:54,905 - INFO - Metrics: CPU=0.4%, RAM=58.3%, Disk=45.2%
2025-03-31 12:19:57,925 - INFO - Metrics: CPU=0.1%, RAM=58.3%, Disk=45.2%
2025-03-31 12:20:00,947 - INFO - Metrics: CPU=3.4%, RAM=58.2%, Disk=45.2%
2025-03-31 12:20:03,998 - INFO - Metrics: CPU=8.1%, RAM=58.2%, Disk=45.2%
2025-03-31 12:20:07,048 - INFO - Metrics: CPU=2.8%, RAM=58.3%, Disk=45.2%
2025-03-31 12:20:10,069 - INFO - Metrics: CPU=0.4%, RAM=58.1%, Disk=45.2%
2025-03-31 12:20:13,097 - INFO - Metrics: CPU=9.4%, RAM=58.1%, Disk=45.2%
2025-03-31 12:20:16,157 - INFO - Metrics: CPU=30.6%, RAM=58.1%, Disk=45.2%
2025-03-31 12:20:19,182 - INFO - Metrics: CPU=0.7%, RAM=58.0%, Disk=45.2%
2025-03-31 12:20:22,202 - INFO - Metrics: CPU=0.8%, RAM=58.2%, Disk=45.2%
2025-03-31 12:20:25,223 - INFO - Metrics: CPU=5.6%, RAM=58.2%, Disk=45.2%
2025-03-31 12:20:28,249 - INFO - Metrics: CPU=17.8%, RAM=58.4%, Disk=45.2%
2025-03-31 12:20:31,266 - INFO - Metrics: CPU=0.3%, RAM=58.1%, Disk=45.2%
2025-03-31 12:20:34,288 - INFO - Metrics: CPU=0.2%, RAM=57.9%, Disk=45.2%
2025-03-31 12:20:46,424 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:20:46,807 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:20:47,440 - INFO - Metrics: CPU=10.2%, RAM=59.0%, Disk=45.2%
2025-03-31 12:20:47,840 - INFO - Metrics: CPU=9.0%, RAM=59.1%, Disk=45.2%
2025-03-31 12:20:48,625 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:20:49,862 - INFO - Metrics: CPU=14.9%, RAM=59.3%, Disk=45.3%
